Name,Follower,pagerank_score,other_lang,avatar_url,repo_cnt
wilder,30,9.48,"Swift, HTML, Kotlin, C++, Python, Shell, Assembly, Matlab, Go, Jupyter Notebook, C, JavaScript",https://avatars1.githubusercontent.com/u/12280517?v=4,176
duchampdev,2,9.48,"Kotlin, C++, Python, CSS",https://avatars0.githubusercontent.com/u/26816455?v=4,20
CoryCharlton,5,9.48,C#,https://avatars2.githubusercontent.com/u/10094287?v=4,32
SilverFoxA,17,9.48,"CSS, PHP, HTML, JavaScript",https://avatars1.githubusercontent.com/u/6983070?v=4,68
adric,2,9.48,"Swift, C++, Python, C#, Lua, JavaScript",https://avatars2.githubusercontent.com/u/1448796?v=4,28
amartinz,30,9.48,"Makefile, C++, Kotlin, Python, Perl, C#, C, PHP, HTML, Shell, JavaScript",https://avatars2.githubusercontent.com/u/2779871?v=4,128
srowen,30,9.48,"Python, Jupyter Notebook, Scala",https://avatars0.githubusercontent.com/u/822522?v=4,20
medicalwei,30,9.48,"C++, Python, GCC Machine Description, Perl, Shell, TeX, CoffeeScript, FORTRAN, CSS, Go, PHP, HTML, C, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/74481?v=4,202
slepmog,2,9.48,,https://avatars1.githubusercontent.com/u/7415007?v=4,2
makiuchi-d,24,9.48,"HTML, C++, M4, Python, QML, C#, CSS, Go, PHP, Shell, C, JavaScript",https://avatars3.githubusercontent.com/u/1674313?v=4,88
dsanders11,6,9.48,"Objective-C, Vue, C++, Python, JavaScript, Shell, Assembly, CSS, Go, Makefile, HTML, C, TypeScript",https://avatars2.githubusercontent.com/u/5820654?v=4,334
tanelihuuskonen,0,9.48,"Clojure, C++",https://avatars0.githubusercontent.com/u/19185280?v=4,6
micjahn,30,9.48,"Python, C#",https://avatars2.githubusercontent.com/u/3475026?v=4,12
mhcuervo,2,9.48,JavaScript,https://avatars1.githubusercontent.com/u/8988213?v=4,2
burunduk,5,9.48,"C++, Groovy, CSS, Pascal, Shell, Batchfile, JavaScript",https://avatars0.githubusercontent.com/u/912818?v=4,84
yoshi389111,0,9.48,"Python, C, Jupyter Notebook, Shell, JavaScript",https://avatars0.githubusercontent.com/u/15214393?v=4,20
strguntbr,2,9.48,"C, Groovy, JavaScript",https://avatars1.githubusercontent.com/u/4062126?v=4,18
benjohnde,30,9.48,"Objective-C, Swift, Kotlin, C++, Python, C#, TeX, Shell, JavaScript",https://avatars3.githubusercontent.com/u/5439810?v=4,66
MicheleMas,0,9.48,"HTML, TeX",https://avatars2.githubusercontent.com/u/10667397?v=4,12
UniQP,12,9.48,"C++, Python, TeX, Vim script, CSS, HTML, C",https://avatars0.githubusercontent.com/u/1321557?v=4,70
az-ericso,1,9.48,JavaScript,https://avatars1.githubusercontent.com/u/15348044?v=4,6
QingfengLee,8,9.48,"C++, Python, CSS, Go, HTML, C, JavaScript",https://avatars1.githubusercontent.com/u/3244825?v=4,48
t123yh,30,9.48,"Objective-C, Makefile, C++, Python, C#, Lua, Scheme, Go, PHP, Shell, C, JavaScript",https://avatars0.githubusercontent.com/u/8972552?v=4,96
mechkg,7,9.48,"C++, Haskell, C#, Emacs Lisp, PHP, Shell, Scala, JavaScript",https://avatars3.githubusercontent.com/u/819194?v=4,62
odahcam,30,9.48,"Kotlin, JavaScript, C#, CSS, Go, PHP, HTML, TypeScript",https://avatars1.githubusercontent.com/u/3942006?v=4,124
Matrix44,0,9.48,,https://avatars1.githubusercontent.com/u/1388744?v=4,4
mertemin,15,9.48,"Dart, Python, TeX, C#, PHP, HTML, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/597707?v=4,56
xuthus,2,9.48,"Python, Pascal, Kotlin",https://avatars2.githubusercontent.com/u/6282044?v=4,28
t-8ch,17,9.48,"Rust, Makefile, Kotlin, C++, Puppet, Python, Perl, JavaScript, Ruby, TeX, Vala, CSS, PHP, Shell, C, Haskell, TypeScript",https://avatars3.githubusercontent.com/u/717901?v=4,262
fgrieu,2,9.48,,https://avatars2.githubusercontent.com/u/7809433?v=4,0
mikejkjr,0,9.48,JavaScript,https://avatars1.githubusercontent.com/u/6655431?v=4,2
tgibson11,0,9.48,"Python, Scala",https://avatars1.githubusercontent.com/u/3578666?v=4,8
herman1vdb,2,9.48,"JavaScript, C#, C, TypeScript",https://avatars3.githubusercontent.com/u/8955362?v=4,20
rospus,0,9.48,"PHP, Shell, JavaScript",https://avatars1.githubusercontent.com/u/3520858?v=4,18
ahatzz11,3,9.48,"C++, Groovy, Python, HTML, Shell, JavaScript",https://avatars3.githubusercontent.com/u/6256032?v=4,36
aniederle,0,9.48,,https://avatars0.githubusercontent.com/u/41335187?v=4,2
diecui1202,30,17.63,"Shell, HTML, JavaScript",https://avatars2.githubusercontent.com/u/1152291?v=4,30
toby1024,7,9.48,"Vue, Swift, Python, Dockerfile, Nginx, CSS, HTML, Shell, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/1757739?v=4,160
xumeng,30,9.48,"Objective-C, Swift, Python, CSS, Go, HTML, Shell, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/2187660?v=4,156
sfyumi,16,9.48,"Swift, Python, C#, CSS, HTML, JavaScript",https://avatars3.githubusercontent.com/u/1942488?v=4,38
guerbai,18,9.48,"Python, Jupyter Notebook, Emacs Lisp, HTML, JavaScript",https://avatars2.githubusercontent.com/u/17327981?v=4,30
twoyao,13,9.48,"Python, Emacs Lisp, CSS, Go, Shell, JavaScript",https://avatars2.githubusercontent.com/u/3994717?v=4,24
wangzhenhui1992,7,9.48,"Python, HTML, JavaScript",https://avatars1.githubusercontent.com/u/16408480?v=4,26
aaronysj,6,9.48,PHP,https://avatars3.githubusercontent.com/u/13292046?v=4,4
Caeson,3,9.48,"Objective-C, C",https://avatars0.githubusercontent.com/u/14235657?v=4,10
paulkennethkent,3,9.48,"Python, CSS, HTML, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/2339925?v=4,58
Pomelo1001,3,9.48,"Python, JavaScript",https://avatars2.githubusercontent.com/u/17921107?v=4,22
TGhoul,20,9.48,"Objective-C, FreeMarker, C++, Python, TypeScript, ASP, CSS, Go, PHP, HTML, Shell, JavaScript",https://avatars2.githubusercontent.com/u/14310807?v=4,138
destinym,0,9.48,"Vue, C++, Python, CSS, PHP, Batchfile, JavaScript",https://avatars2.githubusercontent.com/u/3216650?v=4,42
mrwlei,2,9.48,"Python, HTML, JavaScript",https://avatars2.githubusercontent.com/u/11771469?v=4,26
paperant,3,9.48,"Swift, Python, CSS, PHP, Jupyter Notebook, JavaScript",https://avatars3.githubusercontent.com/u/18215687?v=4,32
rosuH,24,9.48,"Kotlin, Python, CSS, HTML, C, JavaScript",https://avatars2.githubusercontent.com/u/15865017?v=4,88
wanyinsheng,0,17.63,"Vue, C++, Python, Shell, Jupyter Notebook, Lua, CSS, Go, PHP, HTML, C, JavaScript",https://avatars3.githubusercontent.com/u/30773453?v=4,302
sora-zero,4,9.48,"Python, Makefile, JavaScript",https://avatars1.githubusercontent.com/u/3668122?v=4,18
bigbeef,30,68.0,"C++, Python, Shell, Dockerfile, HTML, C, JavaScript",https://avatars1.githubusercontent.com/u/17740213?v=4,80
