Name,Follower,pagerank_score,other_lang,avatar_url,repo_cnt
0xflotus,30,9.48,"Rust, Objective-C, Swift, Kotlin, Groovy, Dart, Erlang, SystemVerilog, CSS, CMake, PHP, Clojure, JavaScript, PowerShell, C++, Python, Idris, TeX, Nix, HCL, Elixir, HTML, Shell, Scala, Haskell, F#, Racket, FreeMarker, LiveScript, Assembly, C#, Lua, Common Lisp, Emacs Lisp, Go, Perl, Pascal, Red, Prolog, Vue, Vim script, OCaml, Jupyter Notebook, C, Ruby, TypeScript",https://avatars3.githubusercontent.com/u/26602940?v=4,2336
bohrqiu,30,9.48,"CSS, Go, HTML, Shell, JavaScript",https://avatars3.githubusercontent.com/u/1333657?v=4,52
anjia0532,30,9.48,"CSS, PHP, JavaScript, PowerShell, C++, Python, TeX, Dockerfile, Nginx, Makefile, HTML, Shell, Scala, Lua, Go, Perl, Vue, Smarty, C, Ruby",https://avatars1.githubusercontent.com/u/15098916?v=4,200
garenchan,8,9.48,"C++, Python, Assembly, CSS, Go, C, JavaScript",https://avatars2.githubusercontent.com/u/13200012?v=4,84
kylixs,13,9.48,"Rust, Objective-C, C++, Python, C#, CoffeeScript, C, CSS, Go, Pascal, Shell, JavaScript",https://avatars0.githubusercontent.com/u/5483385?v=4,124
sjha2048,26,9.48,"Vue, HTML, C++, Dart, Python, Shell, C#, Assembly, TypeScript, Cuda, CSS, Go, Jupyter Notebook, C, Ruby, JavaScript, PowerShell",https://avatars0.githubusercontent.com/u/30971724?v=4,154
superheizai,4,9.48,"Vue, C++, Python, Erlang, CSS, Go, HTML, Scala",https://avatars2.githubusercontent.com/u/3948418?v=4,94
snipercy,9,9.48,"Rust, Swift, C++, Python, CSS, Go, Shell, C, JavaScript",https://avatars3.githubusercontent.com/u/5162780?v=4,58
zhangjin-007,9,9.48,"Python, Ruby, TypeScript, CoffeeScript, Shell, Scala, JavaScript",https://avatars1.githubusercontent.com/u/8253412?v=4,70
ted-wq-x,11,9.48,"CSS, Go, HTML, JavaScript",https://avatars1.githubusercontent.com/u/22289061?v=4,48
guohao,15,9.48,"HTML, C++",https://avatars0.githubusercontent.com/u/13098309?v=4,22
jamesxuhaozhe,8,9.48,"Objective-C, Kotlin, Python, PHP, Scala, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/3423684?v=4,116
sergioescala,4,9.48,"Python, CSS",https://avatars1.githubusercontent.com/u/17890515?v=4,40
alfredzouang,1,9.48,,https://avatars0.githubusercontent.com/u/43456743?v=4,2
x334085347,4,9.48,"Vim script, Scala, JavaScript",https://avatars3.githubusercontent.com/u/26058292?v=4,12
Acvrock,30,9.48,"Objective-C, Shell, XSLT, HTML, C, JavaScript",https://avatars3.githubusercontent.com/u/4920598?v=4,44
15101596893,0,9.48,JavaScript,https://avatars3.githubusercontent.com/u/26040780?v=4,10
minderov,10,9.48,JavaScript,https://avatars3.githubusercontent.com/u/15854038?v=4,4
blindpirate,30,9.48,"Objective-C, ANTLR, Kotlin, Groovy, C++, Python, CSS, Go, Perl, Shell, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/12689835?v=4,206
Braavos96,4,9.48,,https://avatars1.githubusercontent.com/u/35978114?v=4,4
brijeshprasad89,2,9.48,"C++, Assembly, TypeScript, CSS, Go, HTML, JavaScript",https://avatars2.githubusercontent.com/u/10307799?v=4,64
Guilai1990,1,9.48,"Python, C#, CSS, Go, HTML, Shell",https://avatars3.githubusercontent.com/u/14935638?v=4,64
DepthZ,2,9.48,,https://avatars2.githubusercontent.com/u/26402116?v=4,2
DoyuTu,2,9.48,Go,https://avatars1.githubusercontent.com/u/19929855?v=4,14
binarywang,30,9.48,"C++, Python, JavaScript, Go, HTML, Shell, Batchfile, TypeScript",https://avatars1.githubusercontent.com/u/1343140?v=4,110
chanjarster,30,9.48,"CSS, Go, HTML, Shell, Ruby, JavaScript",https://avatars0.githubusercontent.com/u/612413?v=4,134
aimilin6688,2,9.48,"Python, TeX, NSIS, CSS, HTML, JavaScript",https://avatars2.githubusercontent.com/u/3804814?v=4,54
007gzs,30,9.48,"Vue, Objective-C, Swift, C++, Python, Shell, TeX, PHP, HTML, C, JavaScript",https://avatars2.githubusercontent.com/u/5856259?v=4,146
mgcnrx11,3,9.48,"PHP, HTML, Shell, Scala, JavaScript",https://avatars3.githubusercontent.com/u/1214823?v=4,32
ukid,0,9.48,"C++, Python, Lua, Dockerfile, Go, Shell, C, JavaScript",https://avatars3.githubusercontent.com/u/1004222?v=4,44
kakotor,1,9.48,"Kotlin, Python, C#, ASP, Go, HTML, JavaScript",https://avatars0.githubusercontent.com/u/1669371?v=4,58
kareanyi,18,9.48,JavaScript,https://avatars1.githubusercontent.com/u/10240570?v=4,12
tianmu,5,13.56,"HTML, Go",https://avatars1.githubusercontent.com/u/3356089?v=4,12
crskyp,30,9.48,"JavaScript, Go",https://avatars2.githubusercontent.com/u/1946453?v=4,20
rememberber,30,9.48,"Vue, C++, Kotlin, JavaScript, C#, CSS, HTML, Clojure, TypeScript",https://avatars1.githubusercontent.com/u/4653893?v=4,98
charmingoh,13,9.48,"PHP, HTML, JavaScript",https://avatars1.githubusercontent.com/u/6066386?v=4,22
gaigeshen,5,9.48,HTML,https://avatars2.githubusercontent.com/u/7309579?v=4,38
forfuns,5,9.48,"Rust, Objective-C, C++, Python, TypeScript, CoffeeScript, C, CSS, Rascal, HTML, Shell, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/1745525?v=4,92
yuanqixun,19,9.48,"Vue, Kotlin, Groovy, Python, Shell, CSS, XSLT, HTML, C, JavaScript",https://avatars0.githubusercontent.com/u/783318?v=4,180
zxkane,18,9.48,"Kotlin, Python, VimL, TypeScript, Smarty, Dockerfile, CSS, Go, PHP, HTML, Scala, JavaScript",https://avatars1.githubusercontent.com/u/843303?v=4,110
fxdfxq,0,9.48,,https://avatars1.githubusercontent.com/u/17699565?v=4,6
ajffdnt,0,9.48,"Python, JavaScript",https://avatars2.githubusercontent.com/u/4186486?v=4,18
jink2005,13,9.48,"Objective-C, C++, Python, C#, CSS, PHP, C, JavaScript",https://avatars0.githubusercontent.com/u/1567101?v=4,78
dylanleung,2,9.48,"Swift, C++, Groovy, Python, VimL, TypeScript, Lua, CoffeeScript, C, CSS, Go, PHP, HTML, Shell, Scala, JavaScript",https://avatars1.githubusercontent.com/u/1852360?v=4,288
huansinho,5,9.48,"Jupyter Notebook, C",https://avatars3.githubusercontent.com/u/173939?v=4,20
DDLeEHi,1,9.48,,https://avatars2.githubusercontent.com/u/20118945?v=4,10
unlimitedsola,30,9.48,"Kotlin, C++, Python, Assembly, Dockerfile, Go, JavaScript",https://avatars2.githubusercontent.com/u/3632663?v=4,52
codepiano,30,9.48,"Python, VimL, Haskell, Smarty, Vim script, Go, HTML, Shell, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/2015631?v=4,64
withinthefog,5,9.48,"Objective-C, C++, Python, Shell, Ruby, JavaScript",https://avatars0.githubusercontent.com/u/1320910?v=4,44
chuntaojun,20,9.48,"Python, CSS, Go, HTML",https://avatars0.githubusercontent.com/u/23445172?v=4,60
stvliu,2,9.48,"Vue, C++, Python, Shell, CSS, Go, HTML, C, JavaScript",https://avatars0.githubusercontent.com/u/3401999?v=4,252
nickwongwong,8,9.48,"C++, Python, C, JavaScript",https://avatars3.githubusercontent.com/u/16626084?v=4,34
imgbot[bot],0,9.48,,https://avatars0.githubusercontent.com/in/4706?v=4,0
ZhaoxiongTan,2,9.48,,https://avatars3.githubusercontent.com/u/5960598?v=4,16
NathanSweet,30,9.48,"C++, PHP, HTML, C, TypeScript",https://avatars3.githubusercontent.com/u/434010?v=4,20
badlogic,30,9.48,"Rust, Kotlin, C++, Python, Assembly, C#, TypeScript, CSS, HTML, C, JavaScript",https://avatars1.githubusercontent.com/u/514052?v=4,132
xoppa,30,9.48,"HTML, C, C++",https://avatars3.githubusercontent.com/u/2349087?v=4,26
MobiDevelop,30,134.22,Groovy,https://avatars2.githubusercontent.com/u/1095464?v=4,22
Tom-Ski,30,43.44,"Objective-C, C++, Groovy, C#, C, CSS, Shell, JavaScript",https://avatars0.githubusercontent.com/u/4346114?v=4,60
davebaol,30,9.48,"OpenEdge ABL, C++, JavaScript, C, TypeScript",https://avatars3.githubusercontent.com/u/2366334?v=4,58
acoppes,30,13.56,"Objective-C, C#, PHP, C, JavaScript",https://avatars2.githubusercontent.com/u/591852?v=4,40
jrenner,30,9.48,"HTML, R, Kotlin, C++, Python, VimL, Shell, Ruby, Nim, C#, Scala, CSS, Go, Jupyter Notebook, C, Nimrod, JavaScript",https://avatars1.githubusercontent.com/u/1393288?v=4,126
johnnyapol,24,9.48,"C++, Python, Roff, JavaScript",https://avatars1.githubusercontent.com/u/5902494?v=4,42
nooone,12,9.48,HTML,https://avatars3.githubusercontent.com/u/5896510?v=4,12
code-disaster,30,13.56,"Rust, C++, Kotlin, Python, CMake, C",https://avatars1.githubusercontent.com/u/4644167?v=4,112
hneuer,11,9.48,TypeScript,https://avatars3.githubusercontent.com/u/1545118?v=4,6
dsaltares,30,135.46,"C++, Python, C#, GDScript, CSS, HTML, JavaScript",https://avatars2.githubusercontent.com/u/570314?v=4,58
realitix,28,9.48,"Rust, C++, Python, Haxe, Logos, PHP, Shell, CSS, C, JavaScript",https://avatars1.githubusercontent.com/u/6367936?v=4,126
semtiko,1,9.48,,https://avatars3.githubusercontent.com/u/496349?v=4,0
noblemaster,9,9.48,,https://avatars1.githubusercontent.com/u/2363626?v=4,4
cypherdare,5,9.48,"Objective-C, Kotlin, C++, HTML, C, JavaScript",https://avatars2.githubusercontent.com/u/1843131?v=4,32
manuelbua,30,9.48,"Eagle, C++, Python, ActionScript, C, Go, PHP, Shell, JavaScript",https://avatars3.githubusercontent.com/u/819314?v=4,62
intrigus,12,39.46,"Objective-C, Rust, Kotlin, CSS, PHP, JavaScript, C++, Python, TeX, Haxe, Makefile, Jasmin, HTML, Shell, C#, Perl, C, Ruby",https://avatars2.githubusercontent.com/u/10353467?v=4,244
ttencate,30,9.48,"Rust, Eiffel, Groovy, CSS, PHP, JavaScript, C++, Python, TeX, Haxe, HTML, Shell, Haskell, Io, GDScript, Go, CoffeeScript, C, Ruby, TypeScript",https://avatars0.githubusercontent.com/u/90930?v=4,184
robertmassaioli,17,17.63,"C++, VimL, Ruby, Assembly, TypeScript, PureScript, C, Scala, Go, PHP, HTML, Shell, Haskell, JavaScript",https://avatars3.githubusercontent.com/u/149178?v=4,124
stbachmann,30,9.48,"Python, Haxe, C, JavaScript",https://avatars0.githubusercontent.com/u/1745239?v=4,18
vbousquet,0,9.48,"C++, JavaScript",https://avatars1.githubusercontent.com/u/2796036?v=4,16
kotcrab,30,69.67,"Kotlin, C++, HTML, C",https://avatars1.githubusercontent.com/u/4594081?v=4,60
Darkyenus,8,9.48,"Kotlin, C++, Python, C#, Lua, Brainfuck, Scala",https://avatars0.githubusercontent.com/u/5280068?v=4,82
mgsx-dev,9,9.48,"Vue, Objective-C, GLSL, C++, Ruby, C, CSS, HTML, Shell, Pure Data, JavaScript",https://avatars3.githubusercontent.com/u/8074238?v=4,118
vmilea,13,9.48,"Objective-C, C++, C#, C",https://avatars1.githubusercontent.com/u/278476?v=4,16
anserran,8,9.48,"C++, Python, CSS, PHP, JavaScript",https://avatars1.githubusercontent.com/u/1515738?v=4,60
MrStahlfelge,20,38.69,C,https://avatars3.githubusercontent.com/u/26038055?v=4,36
moly,9,9.48,"ActionScript, CSS, Go, C",https://avatars0.githubusercontent.com/u/184491?v=4,24
shs96c,30,9.48,"Rust, C++, Python, CSS, PHP, HTML, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/28229?v=4,60
barancev,30,9.48,"Vue, Python, C#, CSS, PHP, HTML, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/617090?v=4,110
jimevans,30,9.48,"C++, Python, C#, CSS, HTML, Batchfile, JavaScript",https://avatars3.githubusercontent.com/u/352840?v=4,92
jleyba,28,9.48,"HTML, JavaScript",https://avatars1.githubusercontent.com/u/254985?v=4,20
jarib,30,53.64,"C++, Puppet, Python, C#, Objective-J, C, CSS, HTML, Shell, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/572?v=4,228
dfabulich,30,9.48,"Objective-C, Rust, C++, Python, Perl, TypeScript, C#, CSS, PHP, HTML, Shell, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/96150?v=4,192
illicitonion,30,9.48,"Rust, Objective-C, Swift, HTML, Python, CSS, Go, Perl, Shell, C, Ruby, JavaScript",https://avatars0.githubusercontent.com/u/1131704?v=4,214
AutomatedTester,30,37.35,"Rust, Puppet, Python, C#, Vim script, CSS, Go, HTML, Shell, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/128518?v=4,242
lukeis,30,9.48,"Objective-C, C++, Python, JavaScript, HTML, Shell, Ruby, TypeScript",https://avatars0.githubusercontent.com/u/926454?v=4,54
eranmes,5,9.48,"C++, Python, TeX, Makefile, C",https://avatars2.githubusercontent.com/u/1072163?v=4,18
mdub,30,9.48,"Python, Haskell, Smarty, Scala, CSS, Go, HTML, Clojure, Shell, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/610?v=4,184
p0deje,30,29.63,"Gherkin, Swift, Puppet, Python, VimL, CoffeeScript, Vim script, CSS, Go, PHP, HTML, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/665846?v=4,198
titusfortner,30,9.48,"Python, CSS, HTML, Batchfile, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/777185?v=4,122
andreastt,30,9.48,"Rust, HTML, C++, Python, Shell, CSS, Go, Groff, C, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/399120?v=4,124
krosenvold,30,36.67,"Groovy, Python, CSS, C, JavaScript",https://avatars1.githubusercontent.com/u/67744?v=4,176
hugs,30,9.48,"Objective-C, Swift, C++, Python, ActionScript, C#, CoffeeScript, OpenSCAD, HTML, C, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/8536?v=4,144
davehunt,30,22.91,"Rust, Swift, Kotlin, Groovy, Python, CoffeeScript, C, Nginx, CSS, Go, PHP, HTML, Shell, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/122800?v=4,388
hbchai,3,9.48,"Groovy, Go",https://avatars1.githubusercontent.com/u/455056?v=4,6
lmtierney,30,9.48,"Rust, Python, VimL, Dockerfile, HTML, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/4405962?v=4,36
ph7,30,9.48,"Python, C, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/17625?v=4,14
freynaud,30,9.48,"Objective-C, Python, CSS, Go, Shell, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/696749?v=4,66
samitbadle,26,9.48,"Perl, Shell, Scala, JavaScript",https://avatars1.githubusercontent.com/u/718010?v=4,32
nirvdrum,30,9.48,"C++, Python, C, Scala, CSS, Go, HTML, Shell, Ruby, JavaScript, PowerShell",https://avatars2.githubusercontent.com/u/12584?v=4,232
sevaseva,9,17.63,"PHP, HTML, JavaScript",https://avatars2.githubusercontent.com/u/1168195?v=4,14
gigix,30,9.48,"Puppet, Python, ActionScript, Jupyter Notebook, PLpgSQL, Perl, HTML, Clojure, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/140960?v=4,96
juangj,10,9.48,"Rust, Go, HTML, Ruby",https://avatars2.githubusercontent.com/u/10137971?v=4,14
aslakhellesoy,30,9.48,"Objective-C, CSS, PHP, JavaScript, C++, Python, Makefile, HTML, Shell, Haskell, Scala, C#, Go, ActionScript, Cucumber, C, Ruby, TypeScript",https://avatars3.githubusercontent.com/u/1000?v=4,338
alex-savchuk,6,9.48,"C++, Python, Perl, C, JavaScript",https://avatars3.githubusercontent.com/u/3902563?v=4,14
andrashatvani,3,9.48,HTML,https://avatars3.githubusercontent.com/u/695746?v=4,4
ajayk,25,49.19,"Rust, Objective-C, Kotlin, Groovy, CSS, PHP, Clojure, JavaScript, PowerShell, C++, Python, HCL, Dockerfile, HTML, Shell, Scala, Lua, XSLT, Go, Perl, Processing, Jupyter Notebook, C, Ruby, TypeScript",https://avatars3.githubusercontent.com/u/1015125?v=4,410
ojw28,30,9.48,"HTML, Ruby, CSS",https://avatars1.githubusercontent.com/u/7881572?v=4,8
andrewlewis,30,9.48,Python,https://avatars3.githubusercontent.com/u/107897?v=4,2
tonihei,5,9.48,,https://avatars1.githubusercontent.com/u/26897506?v=4,0
AquilesCanta,30,9.48,"C#, TeX",https://avatars1.githubusercontent.com/u/8539544?v=4,8
erdemguven,30,9.48,Python,https://avatars1.githubusercontent.com/u/16116340?v=4,4
botaydotcom,4,9.48,"Objective-C, Go, Ruby, JavaScript",https://avatars0.githubusercontent.com/u/690139?v=4,24
marcbaechinger,29,9.48,"C++, JavaScript, CSS, PHP, TypeScript",https://avatars3.githubusercontent.com/u/584321?v=4,98
cdrolle,2,9.48,,https://avatars3.githubusercontent.com/u/990269?v=4,0
drhill,2,9.48,"Kotlin, Groovy, Dockerfile, Shell, C",https://avatars1.githubusercontent.com/u/878790?v=4,18
RikHeijdens,12,9.48,"C, Shell, JavaScript",https://avatars0.githubusercontent.com/u/7520719?v=4,8
szaboa,13,9.48,"C++, Kotlin, Python, HTML, Shell, Ruby",https://avatars0.githubusercontent.com/u/3526708?v=4,32
vigneshvg,10,9.48,"JavaScript, CSS",https://avatars0.githubusercontent.com/u/9002240?v=4,8
jcable,8,9.48,"PHP, C++, Python, Lua, CSS, Makefile, Shell, C, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/152389?v=4,96
andudo,14,9.48,Python,https://avatars0.githubusercontent.com/u/8864567?v=4,2
jeoliva,16,17.63,"C++, Python, C, JavaScript",https://avatars3.githubusercontent.com/u/7904247?v=4,24
tresvecesseis,8,9.48,"C, C++",https://avatars1.githubusercontent.com/u/10452415?v=4,18
falhassen,0,9.48,,https://avatars1.githubusercontent.com/u/10853912?v=4,0
icbaker,0,9.48,"Python, C, Shell, C++",https://avatars1.githubusercontent.com/u/1279752?v=4,8
yqritc,30,9.48,,https://avatars1.githubusercontent.com/u/6405259?v=4,22
ybai001,1,9.48,,https://avatars2.githubusercontent.com/u/30304609?v=4,6
IanDBird,27,9.48,Python,https://avatars1.githubusercontent.com/u/165482?v=4,4
koral--,30,9.48,"Kotlin, Groovy, Dart, C, CSS, Go, HTML, Shell, JavaScript",https://avatars1.githubusercontent.com/u/3340954?v=4,116
talklittle,30,9.48,"Rust, Objective-C, Ren'Py, Erlang, CSS, PHP, JavaScript, Python, Elixir, Makefile, HTML, Shell, UnrealScript, C#, Lua, GDScript, Go, OCaml, C, Ruby",https://avatars1.githubusercontent.com/u/87961?v=4,302
BetweenTwoBits,7,9.48,"HTML, JavaScript, Kotlin",https://avatars0.githubusercontent.com/u/3139045?v=4,10
GiuseppePiscopo,0,9.48,"JavaScript, C#, TypeScript, C++",https://avatars2.githubusercontent.com/u/1991814?v=4,14
martinbonnin,22,9.48,"Swift, HTML, Kotlin, Dart, Python, C#, TeX, Dockerfile, Go, Groff, C, Ruby, JavaScript",https://avatars0.githubusercontent.com/u/3974977?v=4,188
nic0lette,30,9.48,"Kotlin, C++, C#, CSS, PHP, HTML, C, Pure Data, JavaScript",https://avatars2.githubusercontent.com/u/1082635?v=4,72
zsmatyas,0,9.48,,https://avatars3.githubusercontent.com/u/8737074?v=4,2
stellabei,0,9.48,Kotlin,https://avatars0.githubusercontent.com/u/7138797?v=4,6
dbrain,17,9.48,"C++, Python, Go, JavaScript",https://avatars1.githubusercontent.com/u/237995?v=4,64
kohsuke,30,9.48,"Objective-C, Puppet, C++, Groovy, Python, C#, C, Scala, HTML, Clojure, Shell, Ruby, JavaScript",https://avatars1.githubusercontent.com/u/50003?v=4,516
jglick,30,9.48,"Groovy, C#, Smarty, Dockerfile, C, CSS, Go, Makefile, HTML, Clojure, Shell, Ruby, JavaScript, PowerShell",https://avatars1.githubusercontent.com/u/154109?v=4,818
daniel-beck,30,17.63,"Objective-C, Groovy, Python, CSS, HTML, Shell, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/1831569?v=4,348
oleg-nenashev,30,32.81,"Puppet, Groovy, Verilog, Python, C++, C#, Smarty, Dockerfile, C, AGS Script, CSS, Go, PHP, HTML, Shell, Ruby, JavaScript",https://avatars0.githubusercontent.com/u/3000480?v=4,536
olivergondza,18,9.48,"PHP, C++, Groovy, Python, Awk, CSS, Makefile, HTML, Shell, Ruby, JavaScript",https://avatars0.githubusercontent.com/u/206841?v=4,498
stephenc,30,58.58,"Rust, Groovy, Python, Dockerfile, Vim script, Go, HTML, Shell, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/209336?v=4,384
olamy,30,9.48,"Groovy, Python, CSS, Makefile, HTML, Shell, JavaScript",https://avatars2.githubusercontent.com/u/19728?v=4,306
tfennelly,28,9.48,"Vue, Groovy, ApacheConf, Python, CSS, HTML, Shell, JavaScript",https://avatars0.githubusercontent.com/u/429311?v=4,342
kutzi,18,9.48,"Python, Go, Makefile, HTML, Shell, JavaScript",https://avatars1.githubusercontent.com/u/175061?v=4,90
ssogabe,22,9.48,,https://avatars0.githubusercontent.com/u/271370?v=4,2
batmat,30,42.84,"Groovy, Dockerfile, CSS, Go, Makefile, HTML, Shell, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/223853?v=4,452
ndeloof,30,9.48,"CSS, Go, HTML, Shell, Ruby, JavaScript",https://avatars0.githubusercontent.com/u/132757?v=4,54
Wadeck,2,9.48,"Groovy, Smarty, PHP, HTML, Shell, JavaScript",https://avatars1.githubusercontent.com/u/2662497?v=4,184
jsoref,26,9.48,"Rust, Objective-C, Groovy, Dart, Apex, Erlang, CSS, PHP, JavaScript, PowerShell, HyPhy, C++, M4, Python, Cycript, HCL, Elixir, Makefile, HTML, Shell, Scala, Perl6, C#, Lua, Go, Perl, QML, Jupyter Notebook, CoffeeScript, OCaml, Lasso, DIGITAL Command Language, C, Frege, Ruby, TypeScript",https://avatars0.githubusercontent.com/u/2119212?v=4,1368
vjuranek,16,9.48,"C++, Groovy, Python, TeX, PostScript, Dockerfile, Scala, C, Go, Makefile, HTML, Clojure, Shell, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/494573?v=4,206
imod,20,9.48,"Swift, Groovy, TypeScript, Go, Makefile, HTML, Shell, JavaScript",https://avatars1.githubusercontent.com/u/543297?v=4,186
Vlatombe,23,9.48,"PHP, Groovy, C#, Smarty, Dockerfile, XSLT, Go, Makefile, HTML, CSS, Shell, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/171459?v=4,290
jtnord,20,9.48,"Groovy, Lua, Dockerfile, Go, Makefile, HTML, Shell, JavaScript",https://avatars1.githubusercontent.com/u/494726?v=4,164
albers,30,9.48,"Python, LiveScript, HCL, CSS, Go, Perl, HTML, Shell, Scala, JavaScript",https://avatars3.githubusercontent.com/u/2901725?v=4,66
abayer,30,9.48,"Groovy, CSS, PHP, Clojure, JavaScript, C++, R, Python, Dockerfile, Makefile, HTML, Shell, Puppet, Emacs Lisp, Go, Smarty, Mathematica, Ruby",https://avatars2.githubusercontent.com/u/120218?v=4,618
kzantow,27,9.48,"PHP, HTML, C++, Groovy, Python, Shell, TypeScript, CSS, Go, Makefile, Jupyter Notebook, C, JavaScript",https://avatars2.githubusercontent.com/u/3009477?v=4,302
jvz,30,17.63,"Kotlin, Groovy, Python, Ruby, Elm, Erlang, Smarty, TeX, Assembly, Vim script, Go, Makefile, HTML, Shell, Scala, JavaScript",https://avatars2.githubusercontent.com/u/791275?v=4,244
christ66,30,17.63,"Groovy, Python, Scala, C, Go, HTML, Shell, Haskell, JavaScript",https://avatars1.githubusercontent.com/u/1302212?v=4,416
LinuxSuRen,30,9.48,"Kotlin, Groovy, CSS, PHP, JavaScript, Python, Dockerfile, Makefile, HTML, Shell, Scala, Lua, Go, Smarty, Vim script, C, Ruby, TypeScript",https://avatars1.githubusercontent.com/u/1450685?v=4,916
recena,12,9.48,"Groovy, Dockerfile, CSS, HTML, Shell, Ruby, JavaScript",https://avatars3.githubusercontent.com/u/1021745?v=4,270
KostyaSha,30,37.71,"Eagle, HTML, C++, Groovy, Puppet, Python, Kotlin, TeX, Scala, CSS, Go, Perl, Shell, C, Ruby, JavaScript",https://avatars2.githubusercontent.com/u/231611?v=4,344
ohtake,17,9.48,"Python, C#, CoffeeScript, Go, Shell, Ruby, JavaScript, PowerShell",https://avatars2.githubusercontent.com/u/1013655?v=4,104
varmenise,3,9.48,"Objective-C, C++, Groovy, Puppet, Python, PHP, Shell, Ruby",https://avatars3.githubusercontent.com/u/5398781?v=4,124
jeffret-b,4,9.48,"Shell, HTML, Groovy",https://avatars0.githubusercontent.com/u/37345299?v=4,120
pjanouse,0,9.48,"Perl, Ruby, Groovy",https://avatars1.githubusercontent.com/u/1011760?v=4,58
android10,30,9.48,"Kotlin, VimL, Dockerfile, Scala, HTML, Shell, Ruby",https://avatars0.githubusercontent.com/u/1360604?v=4,90
lalongooo,30,9.48,"Swift, Kotlin, Python, CSS, HTML, C, JavaScript",https://avatars3.githubusercontent.com/u/1671260?v=4,144
rynkowsg,7,9.48,"Kotlin, C++, R, Python, JavaScript, C, Vim script, CMake, Go, CSS, HTML, Clojure, Shell, Ruby, TypeScript",https://avatars1.githubusercontent.com/u/5878299?v=4,130
DmitriyZaitsev,29,9.48,"Kotlin, Dart, C, Scala, JavaScript",https://avatars3.githubusercontent.com/u/2178331?v=4,74
elevenfive,30,9.48,"HTML, C++, Lua, Go, Perl, Shell, C, JavaScript",https://avatars0.githubusercontent.com/u/1291596?v=4,94
rashiq,30,9.48,"Python, JavaScript, C, HTML, Shell, TypeScript",https://avatars0.githubusercontent.com/u/1624385?v=4,62
YukiMatsumura,30,9.48,"Shell, JavaScript, Go",https://avatars0.githubusercontent.com/u/1576836?v=4,36
sebastienrouif,5,9.48,"Kotlin, JavaScript",https://avatars2.githubusercontent.com/u/2768618?v=4,34
vtuan10,0,9.48,C,https://avatars3.githubusercontent.com/u/16415673?v=4,10
88250,30,39.05,,https://avatars3.githubusercontent.com/u/873584?v=4,4
Vanessa219,30,49.44,"HTML, JavaScript",https://avatars1.githubusercontent.com/u/970828?v=4,12
ZephyrJung,28,12.2,"Processing, Swift, Kotlin, AppleScript, Python, TypeScript, Lua, GDScript, CSS, Go, HTML, JavaScript",https://avatars1.githubusercontent.com/u/2569600?v=4,150
dongxuwang,8,9.48,"Kotlin, Emacs Lisp, HTML, Clojure, Scala, JavaScript",https://avatars1.githubusercontent.com/u/4261431?v=4,32
billho,8,9.48,"Objective-C, Groovy, CSS, PHP, Clojure, JavaScript, C++, Python, TeX, FORTRAN, HTML, Batchfile, Shell, Scala, C#, Go, Vue, CoffeeScript, Jupyter Notebook, C, Ruby",https://avatars2.githubusercontent.com/u/7029336?v=4,590
wangdx,30,9.48,"Objective-C, HTML, Groovy, Python, TeX, CSS, Go, PHP, Shell, C, Scala, JavaScript",https://avatars3.githubusercontent.com/u/567127?v=4,42
mainlove,18,34.86,JavaScript,https://avatars1.githubusercontent.com/u/1627668?v=4,24
VirtualPier,2,9.48,"Python, JavaScript",https://avatars0.githubusercontent.com/u/14327199?v=4,16
snowflake3721,0,9.48,"Vue, Kotlin, C#, CSS, Go, PHP, HTML, C, JavaScript",https://avatars3.githubusercontent.com/u/26294597?v=4,104
dependabot[bot],0,9.48,,https://avatars0.githubusercontent.com/in/29110?v=4,0
uliian,30,9.48,"C#, HTML, Kotlin",https://avatars3.githubusercontent.com/u/3947701?v=4,32
zhoufengjob,4,9.48,"Objective-C, Vue, C++, Python, Shell, CSS, PHP, HTML, C, JavaScript",https://avatars0.githubusercontent.com/u/2774857?v=4,370
