
'chungnam national university',s [[LeeChungWan , 0.18, https://avatars2.githubusercontent.com/u/26535056?v=4],[sahilb2 , 0.10, https://avatars0.githubusercontent.com/u/21992243?v=4],[Phil-Schmidt , 0.10, https://avatars3.githubusercontent.com/u/7570771?v=4],[RollandMichael7 , 0.10, https://avatars1.githubusercontent.com/u/14168201?v=4],[SunggyuLee , 0.08, https://avatars1.githubusercontent.com/u/37533101?v=4],[RianGallagher , 0.08, https://avatars1.githubusercontent.com/u/22603971?v=4],[dimgrichr , 0.08, https://avatars3.githubusercontent.com/u/32580033?v=4],[NISHITA97 , 0.07, https://avatars2.githubusercontent.com/u/22667364?v=4],[freitzzz , 0.06, https://avatars1.githubusercontent.com/u/26190214?v=4],[mk9440 , 0.06, https://avatars1.githubusercontent.com/u/17431191?v=4]]
'woca',s [[imhuster , 0.12, https://avatars0.githubusercontent.com/u/13541953?v=4],[ziyitony , 0.08, https://avatars3.githubusercontent.com/u/18106851?v=4],[nickwongwong , 0.07, https://avatars3.githubusercontent.com/u/16626084?v=4],[linkcoder , 0.06, https://avatars3.githubusercontent.com/u/21972676?v=4],[yif-hong , 0.04, https://avatars2.githubusercontent.com/u/25526564?v=4],[vpop , 0.04, https://avatars3.githubusercontent.com/u/3687404?v=4],[linkwk7 , 0.04, https://avatars2.githubusercontent.com/u/28770278?v=4],[tccbest , 0.04, https://avatars3.githubusercontent.com/u/5753574?v=4],[AnyUncle , 0.04, https://avatars0.githubusercontent.com/u/13564417?v=4],[lianghao208 , 0.03, https://avatars1.githubusercontent.com/u/14137033?v=4]]
'scau，tencent-wxg',s [[nickwongwong , 0.07, https://avatars3.githubusercontent.com/u/16626084?v=4],[imhuster , 0.06, https://avatars0.githubusercontent.com/u/13541953?v=4],[linkwk7 , 0.04, https://avatars2.githubusercontent.com/u/28770278?v=4],[CyC2018 , 0.03, https://avatars3.githubusercontent.com/u/36260787?v=4],[somone23412 , 0.03, https://avatars0.githubusercontent.com/u/19647213?v=4],[sora-zero , 0.03, https://avatars1.githubusercontent.com/u/3668122?v=4],[yif-hong , 0.02, https://avatars2.githubusercontent.com/u/25526564?v=4],[AnyUncle , 0.02, https://avatars0.githubusercontent.com/u/13564417?v=4],[qiankunpingtai , 0.02, https://avatars2.githubusercontent.com/u/46507972?v=4],[xiangflight , 0.02, https://avatars1.githubusercontent.com/u/10072416?v=4]]
'pris lab',s [[nickwongwong , 0.07, https://avatars3.githubusercontent.com/u/16626084?v=4],[linkcoder , 0.06, https://avatars3.githubusercontent.com/u/21972676?v=4],[imhuster , 0.06, https://avatars0.githubusercontent.com/u/13541953?v=4],[linkwk7 , 0.04, https://avatars2.githubusercontent.com/u/28770278?v=4],[CyC2018 , 0.03, https://avatars3.githubusercontent.com/u/36260787?v=4],[sora-zero , 0.03, https://avatars1.githubusercontent.com/u/3668122?v=4],[QingfengLee , 0.03, https://avatars1.githubusercontent.com/u/3244825?v=4],[Omega-Ariston , 0.02, https://avatars1.githubusercontent.com/u/32405587?v=4],[yif-hong , 0.02, https://avatars2.githubusercontent.com/u/25526564?v=4],[AnyUncle , 0.02, https://avatars0.githubusercontent.com/u/13564417?v=4]]
'niuban',s [[kakotor , 0.14, https://avatars0.githubusercontent.com/u/1669371?v=4],[kareanyi , 0.14, https://avatars1.githubusercontent.com/u/10240570?v=4],[tianmu , 0.14, https://avatars1.githubusercontent.com/u/3356089?v=4],[gaigeshen , 0.14, https://avatars2.githubusercontent.com/u/7309579?v=4],[ukid , 0.12, https://avatars3.githubusercontent.com/u/1004222?v=4],[ajffdnt , 0.11, https://avatars2.githubusercontent.com/u/4186486?v=4],[DDLeEHi , 0.11, https://avatars2.githubusercontent.com/u/20118945?v=4],[crskyp , 0.09, https://avatars2.githubusercontent.com/u/1946453?v=4],[nickwongwong , 0.07, https://avatars3.githubusercontent.com/u/16626084?v=4],[mgcnrx11 , 0.07, https://avatars3.githubusercontent.com/u/1214823?v=4]]
'xfds',s [[ziyitony , 0.15, https://avatars3.githubusercontent.com/u/18106851?v=4],[linkwk7 , 0.08, https://avatars2.githubusercontent.com/u/28770278?v=4],[nickwongwong , 0.07, https://avatars3.githubusercontent.com/u/16626084?v=4],[linkcoder , 0.06, https://avatars3.githubusercontent.com/u/21972676?v=4],[imhuster , 0.06, https://avatars0.githubusercontent.com/u/13541953?v=4],[MachineChen , 0.04, https://avatars0.githubusercontent.com/u/37149045?v=4],[tccbest , 0.04, https://avatars3.githubusercontent.com/u/5753574?v=4],[qifanyang , 0.04, https://avatars3.githubusercontent.com/u/2858765?v=4],[lianghao208 , 0.03, https://avatars1.githubusercontent.com/u/14137033?v=4],[xiangflight , 0.03, https://avatars1.githubusercontent.com/u/10072416?v=4]]
'china-jd  @tiglabs',s [[imhuster , 0.12, https://avatars0.githubusercontent.com/u/13541953?v=4],[sahilb2 , 0.10, https://avatars0.githubusercontent.com/u/21992243?v=4],[Phil-Schmidt , 0.10, https://avatars3.githubusercontent.com/u/7570771?v=4],[RollandMichael7 , 0.10, https://avatars1.githubusercontent.com/u/14168201?v=4],[sora-zero , 0.09, https://avatars1.githubusercontent.com/u/3668122?v=4],[LiWenGu , 0.08, https://avatars0.githubusercontent.com/u/15909210?v=4],[linkwk7 , 0.08, https://avatars2.githubusercontent.com/u/28770278?v=4],[yellowgg , 0.08, https://avatars1.githubusercontent.com/u/27286340?v=4],[jinyahuan , 0.08, https://avatars1.githubusercontent.com/u/17841662?v=4],[SunggyuLee , 0.08, https://avatars1.githubusercontent.com/u/37533101?v=4]]
'dianping',s [[MachineChen , 0.08, https://avatars0.githubusercontent.com/u/37149045?v=4],[linkwk7 , 0.08, https://avatars2.githubusercontent.com/u/28770278?v=4],[yellowgg , 0.08, https://avatars1.githubusercontent.com/u/27286340?v=4],[jinyahuan , 0.08, https://avatars1.githubusercontent.com/u/17841662?v=4],[JerrySeven , 0.08, https://avatars0.githubusercontent.com/u/43209747?v=4],[Isolation-Lee , 0.08, https://avatars1.githubusercontent.com/u/51596015?v=4],[nickwongwong , 0.07, https://avatars3.githubusercontent.com/u/16626084?v=4],[Goose9527 , 0.07, https://avatars3.githubusercontent.com/u/43314997?v=4],[linkcoder , 0.06, https://avatars3.githubusercontent.com/u/21972676?v=4],[imhuster , 0.06, https://avatars0.githubusercontent.com/u/13541953?v=4]]
'nanjing university of posts and telecommunications',s [[sqrthree , 0.20, https://avatars2.githubusercontent.com/u/8622362?v=4],[jamescheng16 , 0.17, https://avatars3.githubusercontent.com/u/4263914?v=4],[ipofss , 0.12, https://avatars1.githubusercontent.com/u/8225921?v=4],[jiahaochang , 0.11, https://avatars0.githubusercontent.com/u/24975771?v=4],[sheldonyss , 0.10, https://avatars0.githubusercontent.com/u/15058152?v=4],[sahilb2 , 0.10, https://avatars0.githubusercontent.com/u/21992243?v=4],[Phil-Schmidt , 0.10, https://avatars3.githubusercontent.com/u/7570771?v=4],[RollandMichael7 , 0.10, https://avatars1.githubusercontent.com/u/14168201?v=4],[sora-zero , 0.09, https://avatars1.githubusercontent.com/u/3668122?v=4],[linkwk7 , 0.08, https://avatars2.githubusercontent.com/u/28770278?v=4]]
'pinduoduo',s [[imtms , 1.00, https://avatars3.githubusercontent.com/u/8328620?v=4],[sage417 , 0.20, https://avatars1.githubusercontent.com/u/7111791?v=4],[twoyao , 0.20, https://avatars2.githubusercontent.com/u/3994717?v=4],[weizongqun , 0.17, https://avatars3.githubusercontent.com/u/15922971?v=4],[JerrySeven , 0.15, https://avatars0.githubusercontent.com/u/43209747?v=4],[jiahaochang , 0.11, https://avatars0.githubusercontent.com/u/24975771?v=4],[yellowgg , 0.08, https://avatars1.githubusercontent.com/u/27286340?v=4],[jinyahuan , 0.08, https://avatars1.githubusercontent.com/u/17841662?v=4],[Isolation-Lee , 0.08, https://avatars1.githubusercontent.com/u/51596015?v=4],[nickwongwong , 0.07, https://avatars3.githubusercontent.com/u/16626084?v=4]]
'alibaba',s [[wangdx , 0.56, https://avatars3.githubusercontent.com/u/567127?v=4],[DoyuTu , 0.50, https://avatars1.githubusercontent.com/u/19929855?v=4],[macrozheng , 0.40, https://avatars2.githubusercontent.com/u/15903809?v=4],[gigix , 0.38, https://avatars3.githubusercontent.com/u/140960?v=4],[Fruiter , 0.25, https://avatars0.githubusercontent.com/u/1571308?v=4],[alfredzouang , 0.24, https://avatars0.githubusercontent.com/u/43456743?v=4],[15101596893 , 0.24, https://avatars3.githubusercontent.com/u/26040780?v=4],[DepthZ , 0.24, https://avatars2.githubusercontent.com/u/26402116?v=4],[yidasanqian , 0.21, https://avatars3.githubusercontent.com/u/10655188?v=4],[sage417 , 0.20, https://avatars1.githubusercontent.com/u/7111791?v=4]]
'doordash',s [[CyC2018 , 0.03, https://avatars3.githubusercontent.com/u/36260787?v=4],[theycallmemac , 0.02, https://avatars1.githubusercontent.com/u/16108563?v=4],[ashwani99 , 0.02, https://avatars1.githubusercontent.com/u/12485623?v=4],[abagasra98 , 0.02, https://avatars1.githubusercontent.com/u/12569776?v=4]]
